iter	MultiClass
0	1.034193225
1	0.9827690821
2	0.9392306205
3	0.9016031928
4	0.8704151894
5	0.8459055157
6	0.8220301883
7	0.8025832889
8	0.7841583768
9	0.7688295834
10	0.7561385153
11	0.743960525
12	0.7323981641
13	0.723139468
14	0.7137295012
15	0.7056336059
16	0.6979768688
17	0.6856684825
18	0.6742475202
19	0.6648138597
20	0.6567944264
21	0.6499689698
22	0.6442105051
23	0.6382526007
24	0.6344835122
25	0.629980053
26	0.6261430845
27	0.6227771365
28	0.6192700733
29	0.6163873945
30	0.6140238924
31	0.6111310517
32	0.6084492591
33	0.6063354731
34	0.6047056709
35	0.6026894516
36	0.6011651727
37	0.5996984962
38	0.5979679341
39	0.5967701235
40	0.5957117271
41	0.5941431447
42	0.5929129934
43	0.5918182976
44	0.5910946614
45	0.5902345337
46	0.5892629868
47	0.588294477
48	0.587675671
49	0.5867396798
50	0.5856680912
51	0.5848923647
52	0.5839251493
53	0.5834840667
54	0.5828433675
55	0.58235246
56	0.5818199219
57	0.5809900017
58	0.5806361862
59	0.5801657354
60	0.5797281586
61	0.5791334976
62	0.5786882649
63	0.5783344883
64	0.5774561571
65	0.5769043308
66	0.5765374287
67	0.5759856578
68	0.5754696544
69	0.5751207903
70	0.574671064
71	0.5742039896
72	0.5738071891
73	0.5734824767
74	0.5729259505
75	0.5725439957
76	0.5721623109
77	0.5719463053
78	0.5716007404
79	0.5712830995
80	0.5711056146
81	0.5708778403
82	0.5707210187
83	0.5704362332
84	0.5704141101
85	0.5701556302
86	0.5699975234
87	0.569723186
88	0.5694991112
89	0.5691663346
90	0.5690071961
91	0.5688506573
92	0.5687197706
93	0.5685081883
94	0.5681885486
95	0.5678687438
96	0.5675163296
97	0.5672945222
98	0.5672271235
99	0.5670399191
100	0.5666585719
101	0.5664205323
102	0.5662990055
103	0.5660417765
104	0.565711572
105	0.5655837862
106	0.5655083582
107	0.5652038976
108	0.5649395326
109	0.5646656018
110	0.5644941476
111	0.5642366963
112	0.5639934573
113	0.5637411704
114	0.5634745186
115	0.5632386708
116	0.5628386033
117	0.5625242702
118	0.5622832192
119	0.5621723493
120	0.5619696321
121	0.5617493445
122	0.5616366409
123	0.5613992992
124	0.5611309044
125	0.5609640203
126	0.5608219216
127	0.5605781731
128	0.5604709462
129	0.5603311158
130	0.5601556374
131	0.5600545952
132	0.5598441413
133	0.5597384729
134	0.5595671331
135	0.5595005335
136	0.5594453295
137	0.5592679405
138	0.5591395202
139	0.5589777329
140	0.5588377067
141	0.5587374141
142	0.5584280427
143	0.5581179221
144	0.5577218991
145	0.5575779496
146	0.5574425737
147	0.5572390269
148	0.556996472
149	0.5567696437
150	0.556607101
151	0.5563640032
152	0.5560688198
153	0.5558588232
154	0.5555968781
155	0.5554912179
156	0.5553984606
157	0.555269984
158	0.5549684499
159	0.5548739062
160	0.55478117
161	0.5545781281
162	0.5544563416
163	0.5543654347
164	0.5542445418
165	0.5541155161
166	0.553947946
167	0.5538821794
168	0.5537958433
169	0.5536754138
170	0.5536396185
171	0.5535073794
172	0.553284225
173	0.5531601013
174	0.5529725789
175	0.552844596
176	0.5527056071
177	0.5526014126
178	0.5524012702
179	0.5522788316
180	0.5521508775
181	0.5520426927
182	0.5518376891
183	0.5517033345
184	0.5516299653
185	0.5515398344
186	0.5514093758
187	0.5512922153
188	0.5512079478
189	0.5509816634
190	0.5508825468
191	0.5508073529
192	0.5506227236
193	0.5505613182
194	0.5503994016
195	0.5503203091
196	0.5502665464
197	0.5501198094
198	0.5501040568
199	0.5499764607
200	0.5497529694
201	0.5496486282
202	0.5495486508
203	0.5493705362
204	0.5491929235
205	0.5490792431
206	0.5490044356
207	0.5488404377
208	0.5488057489
209	0.5487354538
210	0.548706074
211	0.5485949474
212	0.5484438355
213	0.5483429614
214	0.5482248426
215	0.5481072486
216	0.5478537879
217	0.5476205507
218	0.5474128572
219	0.5473101813
220	0.5471660635
221	0.547018818
222	0.5468849599
223	0.5467330832
224	0.5466390716
225	0.5464832774
226	0.5463487148
227	0.5462259701
228	0.546156978
229	0.545995086
230	0.5458333162
231	0.5456549289
232	0.545497149
233	0.5453422661
234	0.5452448146
235	0.5449706356
236	0.5448403242
237	0.5447543351
238	0.5445294351
239	0.5444022312
240	0.5442513108
241	0.5441909252
242	0.5441259377
243	0.5440171318
244	0.5439133868
245	0.5438156354
246	0.543676626
247	0.543588302
248	0.5435311577
249	0.5434809723
250	0.5433996743
251	0.5432194533
252	0.5430654729
253	0.5429491434
254	0.5428277696
255	0.5427233651
256	0.5425405575
257	0.5424680244
258	0.5422633846
259	0.5422155495
260	0.5419850681
261	0.5418457395
262	0.5417386442
263	0.5416213531
264	0.5414940054
265	0.5413125355
266	0.5412654525
267	0.5411967323
268	0.5410349806
269	0.5407889123
270	0.5406777252
271	0.5405886588
272	0.5405209684
273	0.5404673804
274	0.5402908669
275	0.5401682477
276	0.539972676
277	0.5398106357
278	0.5396185414
279	0.5394729321
280	0.5393615935
281	0.5392470352
282	0.5391454968
283	0.5390263247
284	0.5389607586
285	0.5388171958
286	0.538716682
287	0.5386644784
288	0.5386019228
289	0.5384569045
290	0.5383565912
291	0.5382284056
292	0.5380579239
293	0.5379481862
294	0.5378557471
295	0.5377838221
296	0.5377329995
297	0.5375517437
298	0.537431979
299	0.5373817311
300	0.5372743356
301	0.5370556879
302	0.5369289432
303	0.5368266083
304	0.5367474269
305	0.5366252192
306	0.5365404936
307	0.5364693609
308	0.5362938848
309	0.5361031913
310	0.5359936754
311	0.5359453645
312	0.5358975571
313	0.535803791
314	0.5356694999
315	0.5355227631
316	0.535426574
317	0.5353652249
318	0.5353281467
319	0.53525543
320	0.5350773968
321	0.5349659118
322	0.5348322643
323	0.5347299317
324	0.5345765582
325	0.5345042476
326	0.5344269831
327	0.5343656085
328	0.5342474495
329	0.5341820188
330	0.5340804602
331	0.5339036076
332	0.5338566186
333	0.5336967753
334	0.5335813738
335	0.5335009186
336	0.5333286597
337	0.5330756576
338	0.5329657888
339	0.5328828086
340	0.5327704618
341	0.5326485877
342	0.5325369946
343	0.532408651
344	0.5323489818
345	0.5322841423
346	0.5321532427
347	0.5320291375
348	0.5319699914
349	0.5317825558
350	0.5316979297
351	0.5315924779
352	0.5315031674
353	0.5313999112
354	0.5312741415
355	0.5311765106
356	0.5310665838
357	0.5310086255
358	0.5309272306
359	0.5308048804
360	0.530704695
361	0.5306280271
362	0.5305307808
363	0.5303332738
364	0.5302183425
365	0.5300792492
366	0.5299838533
367	0.5298806426
368	0.5297919186
369	0.5296846639
370	0.52959897
371	0.5294648127
372	0.5293935192
373	0.5293256017
374	0.5292776663
375	0.5291272401
376	0.5290574469
377	0.5289410303
378	0.5288169341
379	0.5287838102
380	0.5286087608
381	0.5285964371
382	0.528503177
383	0.5283800137
384	0.5282146231
385	0.528099775
386	0.5280415055
387	0.5279532009
388	0.527811442
389	0.5276931458
390	0.5276288177
391	0.527414515
392	0.5273788705
393	0.5273229447
394	0.527275489
395	0.5270379349
396	0.5269182864
397	0.5268490388
398	0.5267671197
399	0.5267064643
400	0.5266324589
401	0.5265036423
402	0.5264343055
403	0.5263942622
404	0.5262981282
405	0.5261619304
406	0.5259763238
407	0.5259243018
408	0.5258928454
409	0.5257638197
410	0.5256577468
411	0.5255258361
412	0.5253703336
413	0.5252532488
414	0.5251542314
415	0.5251301262
416	0.5250644496
417	0.5249301823
418	0.5248759933
419	0.5248280276
420	0.5247620401
421	0.5246515381
422	0.5245560561
423	0.5244559311
424	0.5244159486
425	0.5243400539
426	0.524250436
427	0.5241846097
428	0.5241091316
429	0.5240370812
430	0.5239887129
431	0.5238727691
432	0.5237148816
433	0.5235645699
434	0.5232860351
435	0.5232317965
436	0.5231713727
437	0.523129753
438	0.5230601001
439	0.5230036427
440	0.5228901592
441	0.5228233738
442	0.5225966223
443	0.5225197953
444	0.5224882066
445	0.5223085817
446	0.5221766279
447	0.5221502849
448	0.5220681955
449	0.5219709126
450	0.5218273844
451	0.5217196596
452	0.5215867818
453	0.5215631383
454	0.5214048446
455	0.5213335004
456	0.521215222
457	0.5210858944
458	0.5210222862
459	0.5209093998
460	0.5208445822
461	0.5207666289
462	0.5206392978
463	0.5205312599
464	0.5204203125
465	0.5203381133
466	0.5202614397
467	0.5202038675
468	0.5201757411
469	0.5200828871
470	0.5200284953
471	0.51990873
472	0.5198139095
473	0.5196759922
474	0.5196092682
475	0.5194754279
476	0.5194147305
477	0.5193727696
478	0.5192964738
479	0.5191810083
480	0.518990171
481	0.5188800746
482	0.5188386938
483	0.5187611246
484	0.5186021677
485	0.5185385502
486	0.5184504476
487	0.5183687363
488	0.5182654502
489	0.5181567822
490	0.518089104
491	0.5180322681
492	0.5179119516
493	0.5178186245
494	0.5177060165
495	0.5175840598
496	0.5175339793
497	0.5174805067
498	0.517463855
499	0.5173982694
500	0.5172754502
501	0.5171469595
502	0.5169216389
503	0.5167818621
504	0.5166896701
505	0.5165778814
506	0.5164687841
507	0.5164221325
508	0.5162991614
509	0.5162756983
510	0.516216537
511	0.5161583421
512	0.5160802518
513	0.515999492
514	0.5159554908
515	0.5158700655
516	0.5157810169
517	0.5156869626
518	0.5155614233
519	0.5154249714
520	0.5154058311
521	0.5152814497
522	0.5152339434
523	0.5151720136
524	0.5150492326
525	0.514901457
526	0.5148535119
527	0.5148137501
528	0.5146570881
529	0.5145253932
530	0.514467256
531	0.5144071302
532	0.5142659935
533	0.5142170755
534	0.514088072
535	0.5140484543
536	0.51393579
537	0.5137905902
538	0.5137532859
539	0.5136695376
540	0.5135837936
541	0.5134679861
542	0.5133857183
543	0.5132611261
544	0.5131373712
545	0.5130768443
546	0.5130285121
547	0.5129010207
548	0.5127666425
549	0.5126790479
550	0.5125305152
551	0.5124260648
552	0.5123677799
553	0.5121722462
554	0.5120994722
555	0.5119370644
556	0.5118266025
557	0.5117736443
558	0.5116881052
