iter	Passed	Remaining
0	55	27565
1	112	27911
2	165	27408
3	214	26589
4	262	25969
5	313	25803
6	361	25475
7	409	25163
8	457	24976
9	508	24921
10	557	24791
11	605	24632
12	653	24497
13	702	24384
14	750	24261
15	800	24217
16	849	24144
17	897	24040
18	945	23943
19	1002	24070
20	1053	24035
21	1119	24329
22	1168	24225
23	1217	24142
24	1265	24042
25	1312	23932
26	1361	23842
27	1410	23783
28	1458	23681
29	1506	23604
30	1555	23537
31	1605	23473
32	1654	23406
33	1702	23338
34	1749	23248
35	1797	23167
36	1846	23108
37	1894	23032
38	1943	22970
39	1991	22901
40	2038	22824
41	2088	22772
42	2137	22713
43	2187	22673
44	2196	22211
45	2245	22162
46	2293	22107
47	2342	22054
48	2389	21993
49	2438	21946
50	2486	21892
51	2533	21830
52	2582	21781
53	2630	21729
54	2680	21686
55	2729	21638
56	2778	21596
57	2827	21543
58	2875	21491
59	2923	21441
60	2973	21397
61	3021	21348
62	3041	21097
63	3090	21050
64	3130	20949
65	3179	20904
66	3228	20864
67	3237	20570
68	3286	20531
69	3335	20489
70	3384	20450
71	3432	20406
72	3441	20131
73	3488	20081
74	3536	20037
75	3544	19775
76	3592	19737
77	3607	19518
78	3655	19483
79	3704	19450
80	3754	19420
81	3803	19389
82	3818	19182
83	3865	19144
84	3885	18971
85	3927	18907
86	3975	18874
87	4024	18840
88	4072	18805
89	4120	18772
90	4168	18736
91	4216	18701
92	4264	18663
93	4313	18631
94	4362	18597
95	4404	18533
96	4452	18498
97	4499	18456
98	4547	18419
99	4595	18380
100	4642	18339
101	4691	18307
102	4740	18272
103	4790	18239
104	4838	18202
105	4886	18162
106	4934	18125
107	4983	18086
108	5047	18107
109	5095	18064
110	5143	18026
111	5194	17995
112	5243	17956
113	5291	17916
114	5339	17876
115	5389	17839
116	5438	17801
117	5486	17761
118	5534	17719
119	5582	17678
120	5631	17638
121	5680	17600
122	5729	17562
123	5777	17519
124	5825	17477
125	5874	17436
126	5922	17395
127	5972	17357
128	6020	17315
129	6070	17277
130	6126	17257
131	6182	17235
132	6237	17212
133	6259	17096
134	6308	17056
135	6357	17014
136	6405	16973
137	6454	16931
138	6503	16890
139	6553	16851
140	6601	16808
141	6650	16766
142	6698	16721
143	6747	16680
144	6795	16637
145	6843	16594
146	6892	16552
147	6942	16510
148	6990	16467
149	7038	16422
150	7086	16378
151	7134	16335
152	7183	16291
153	7231	16246
154	7280	16204
155	7328	16160
156	7377	16116
157	7425	16073
158	7475	16031
159	7523	15987
160	7571	15941
161	7618	15896
162	7670	15858
163	7718	15813
164	7766	15767
165	7814	15724
166	7864	15681
167	7919	15649
168	7969	15608
169	8016	15560
170	8064	15515
171	8111	15469
172	8160	15425
173	8209	15380
174	8258	15337
175	8308	15294
176	8356	15249
177	8408	15210
178	8457	15166
179	8506	15121
180	8554	15076
181	8602	15030
182	8649	14983
183	8698	14938
184	8746	14892
185	8793	14845
186	8842	14800
187	8891	14756
188	8940	14712
189	8989	14667
190	9038	14622
191	9086	14576
192	9135	14531
193	9184	14486
194	9237	14449
195	9286	14404
196	9334	14357
197	9382	14311
198	9430	14264
199	9480	14220
200	9528	14174
201	9589	14146
202	9643	14108
203	9691	14061
204	9739	14015
205	9788	13970
206	9836	13923
207	9883	13875
208	9931	13827
209	9978	13780
210	10029	13737
211	10079	13692
212	10126	13644
213	10174	13597
214	10223	13552
215	10272	13506
216	10319	13458
217	10367	13411
218	10415	13364
219	10462	13316
220	10510	13268
221	10558	13221
222	10608	13176
223	10655	13128
224	10703	13081
225	10750	13034
226	10799	12988
227	10849	12943
228	10901	12901
229	10953	12858
230	11004	12814
231	11054	12769
232	11104	12724
233	11154	12679
234	11201	12631
235	11250	12585
236	11299	12539
237	11347	12491
238	11394	12443
239	11444	12397
240	11493	12352
241	11542	12305
242	11604	12273
243	11654	12227
244	11703	12181
245	11752	12134
246	11799	12086
247	11847	12039
248	11895	11991
249	11944	11944
250	11991	11896
251	12039	11848
252	12086	11800
253	12134	11752
254	12181	11703
255	12229	11655
256	12286	11616
257	12334	11569
258	12381	11520
259	12435	11479
260	12483	11430
261	12530	11383
262	12578	11335
263	12626	11287
264	12675	11240
265	12723	11192
266	12771	11144
267	12818	11096
268	12866	11048
269	12913	11000
270	12963	10954
271	13009	10905
272	13057	10857
273	13105	10809
274	13153	10761
275	13200	10713
276	13247	10665
277	13295	10617
278	13342	10569
279	13390	10521
280	13438	10473
281	13487	10426
282	13537	10380
283	13584	10331
284	13631	10283
285	13678	10235
286	13727	10187
287	13775	10140
288	13823	10092
289	13871	10044
290	13918	9996
291	13966	9948
292	14014	9900
293	14065	9855
294	14113	9807
295	14162	9760
296	14210	9712
297	14258	9664
298	14312	9621
299	14360	9573
300	14408	9525
301	14458	9479
302	14509	9433
303	14559	9386
304	14606	9338
305	14654	9290
306	14702	9242
307	14750	9195
308	14798	9147
309	14845	9099
310	14893	9051
311	14942	9003
312	14991	8956
313	15038	8908
314	15086	8860
315	15134	8812
316	15183	8765
317	15232	8718
318	15281	8670
319	15331	8623
320	15379	8576
321	15428	8528
322	15477	8481
323	15526	8434
324	15578	8388
325	15626	8340
326	15674	8292
327	15723	8245
328	15773	8198
329	15821	8150
330	15869	8102
331	15918	8055
332	15965	8006
333	16014	7959
334	16061	7910
335	16109	7862
336	16156	7814
337	16204	7766
338	16252	7718
339	16300	7671
340	16350	7623
341	16397	7575
342	16445	7527
343	16492	7479
344	16541	7431
345	16588	7383
346	16636	7335
347	16684	7287
348	16732	7239
349	16780	7191
350	16829	7144
351	16878	7096
352	16929	7050
353	16977	7002
354	17026	6954
355	17076	6907
356	17126	6860
357	17176	6812
358	17225	6765
359	17275	6718
360	17323	6670
361	17372	6622
362	17421	6575
363	17470	6527
364	17518	6479
365	17566	6431
366	17616	6384
367	17664	6336
368	17713	6288
369	17762	6241
370	17811	6193
371	17859	6145
372	17908	6097
373	17955	6049
374	18004	6001
375	18050	5952
376	18098	5904
377	18145	5856
378	18193	5808
379	18240	5760
380	18289	5712
381	18338	5664
382	18385	5616
383	18435	5569
384	18483	5521
385	18530	5472
386	18577	5424
387	18625	5376
388	18672	5328
389	18720	5280
390	18768	5232
391	18816	5184
392	18864	5136
393	18912	5088
394	18960	5040
395	19008	4992
396	19056	4944
397	19105	4896
398	19153	4848
399	19201	4800
400	19249	4752
401	19299	4704
402	19348	4656
403	19401	4610
404	19449	4562
405	19497	4514
406	19546	4466
407	19593	4418
408	19640	4369
409	19687	4321
410	19735	4273
411	19783	4225
412	19830	4177
413	19879	4129
414	19927	4081
415	19975	4033
416	20023	3985
417	20071	3937
418	20124	3890
419	20178	3843
420	20238	3797
421	20286	3749
422	20334	3701
423	20381	3653
424	20429	3605
425	20476	3557
426	20524	3508
427	20573	3461
428	20620	3412
429	20668	3364
430	20715	3316
431	20764	3268
432	20811	3220
433	20860	3172
434	20909	3124
435	20957	3076
436	21005	3028
437	21053	2980
438	21101	2932
439	21149	2883
440	21198	2836
441	21245	2787
442	21293	2739
443	21340	2691
444	21388	2643
445	21436	2595
446	21488	2547
447	21535	2499
448	21583	2451
449	21631	2403
450	21680	2355
451	21728	2307
452	21783	2260
453	21832	2212
454	21880	2163
455	21930	2116
456	21979	2068
457	22027	2019
458	22074	1971
459	22123	1923
460	22169	1875
461	22217	1827
462	22264	1779
463	22312	1731
464	22360	1683
465	22412	1635
466	22461	1587
467	22510	1539
468	22558	1491
469	22610	1443
470	22658	1395
471	22707	1347
472	22755	1298
473	22803	1250
474	22852	1202
475	22902	1154
476	22951	1106
477	23000	1058
478	23048	1010
479	23097	962
480	23144	914
481	23194	866
482	23242	818
483	23290	769
484	23338	721
485	23387	673
486	23437	625
487	23487	577
488	23535	529
489	23583	481
490	23631	433
491	23681	385
492	23731	336
493	23781	288
494	23830	240
495	23880	192
496	23935	144
497	23982	96
498	24030	48
499	24077	0
