COMMODITY,COUNTRY,UNIT,QUANTITY,VALUE(US$ million)
TEA,AFGHANISTAN,KGS,996994,2.88
TEA,ALBANIA,KGS,250065,0.82
TEA,ALGERIA,KGS,109640,0.21
TEA,ANDORRA,KGS,32692,0.15
TEA,ANGOLA,KGS,11361,0.07
TEA,ARGENTINA,KGS,11,0
TEA,ARMENIA,KGS,2311,0
TEA,AUSTRALIA,KGS,3107210,17.25
TEA,AUSTRIA,KGS,1164,0.01
TEA,AZERBAIJAN,KGS,367209,1.24
TEA,BAHARAIN IS,KGS,430000,1.83
TEA,BANGLADESH PR,KGS,327957,0.75
TEA,BARBADOS,KGS,125,0
TEA,BELARUS,KGS,26175,0.11
TEA,BELGIUM,KGS,1066109,3.47
TEA,BENIN,KGS,36476,0.22
TEA,BHUTAN,KGS,171879,0.7
TEA,BOTSWANA,KGS,1024,0.01
TEA,BRAZIL,KGS,2301,0.03
TEA,BRUNEI,KGS,1081,0
TEA,BULGARIA,KGS,1178,0.02
TEA,BURKINA FASO,KGS,671370,3.75
TEA,CAMBODIA,KGS,611,0
TEA,CAMEROON,KGS,16458,0.14
TEA,CANADA,KGS,2643098,12.54
TEA,CAYMAN IS,KGS,151,0
TEA,CHAD,KGS,60,0
TEA,CHILE,KGS,24520,0.06
TEA,CHINA P RP,KGS,9231688,23.93
TEA,COLOMBIA,KGS,86927,0.14
TEA,CONGO D. REP.,KGS,80817,0.13
TEA,CONGO P REP,KGS,49908,0.19
TEA,COSTA RICA,KGS,4150,0.03
TEA,COTE D' IVOIRE,KGS,236212,1.14
TEA,CROATIA,KGS,9165,0.02
TEA,CYPRUS,KGS,2412,0.01
TEA,CZECH REPUBLIC,KGS,10141,0.19
TEA,DENMARK,KGS,47110,0.51
TEA,DOMINIC REP,KGS,210,0
TEA,ECUADOR,KGS,1000,0
TEA,EGYPT A RP,KGS,13283924,26.61
TEA,ESTONIA,KGS,80645,0.24
TEA,ETHIOPIA,KGS,2,0
TEA,FIJI IS,KGS,6715,0.03
TEA,FINLAND,KGS,968867,2.89
TEA,FRANCE,KGS,235795,2.1
TEA,GABON,KGS,202,0
TEA,GAMBIA,KGS,326881,1.31
TEA,GEORGIA,KGS,561244,1.52
TEA,GERMANY,KGS,11702801,42.93
TEA,GHANA,KGS,512137,3.03
TEA,GREECE,KGS,25492,0.05
TEA,GUADELOUPE,KGS,60,0
TEA,GUATEMALA,KGS,20,0
TEA,GUINEA,KGS,119277,0.53
TEA,GUINEA BISSAU,KGS,25,0
TEA,GUYANA,KGS,3872,0.01
TEA,HAITI,KGS,115,0
TEA,HONG KONG,KGS,220609,0.94
TEA,HUNGARY,KGS,122,0
TEA,INDONESIA,KGS,1038608,1.7
TEA,IRAN,KGS,32810837,126.36
TEA,IRAQ,KGS,2671595,5.2
TEA,IRELAND,KGS,1956259,13.96
TEA,ISRAEL,KGS,75527,0.26
TEA,ITALY,KGS,1417405,11.21
TEA,JAMAICA,KGS,50,0
TEA,JAPAN,KGS,3775672,24.21
TEA,JORDAN,KGS,123135,0.47
TEA,KAZAKHSTAN,KGS,10097608,27.4
TEA,KENYA,KGS,1219847,2.28
TEA,KOREA DP RP,KGS,1700,0.07
TEA,KOREA RP,KGS,92515,1.25
TEA,KUWAIT,KGS,1135466,4.27
TEA,KYRGHYZSTAN,KGS,32838,0.18
TEA,LAO PD RP,KGS,47,0
TEA,LATVIA,KGS,44078,0.19
TEA,LEBANON,KGS,7443,0.06
TEA,LIBERIA,KGS,744,0
TEA,LIBYA,KGS,566142,2.31
TEA,LITHUANIA,KGS,30490,0.18
TEA,MACAO,KGS,32,0
TEA,MADAGASCAR,KGS,376,0
TEA,MALAWI,KGS,630,0
TEA,MALAYSIA,KGS,4213672,6.97
TEA,MALDIVES,KGS,11523,0.07
TEA,MALI,KGS,186077,1.03
TEA,MALTA,KGS,46,0
TEA,MAURITIUS,KGS,18611,0.09
TEA,MEXICO,KGS,20265,0.24
TEA,MOLDOVA,KGS,5104,0.02
TEA,MONGOLIA,KGS,2450,0.02
TEA,MOROCCO,KGS,157670,0.4
TEA,MOZAMBIQUE,KGS,1636,0.01
TEA,MYANMAR,KGS,11,0
TEA,NEPAL,KGS,201443,0.86
TEA,NETHERLAND,KGS,4456156,17.75
TEA,NETHERLANDANTIL,KGS,24385,0.06
TEA,NEW ZEALAND,KGS,281454,1.41
TEA,NIGER,KGS,661921,3.34
TEA,NIGERIA,KGS,418678,1.56
TEA,NORWAY,KGS,35182,0.26
TEA,OMAN,KGS,479708,1.99
TEA,PAKISTAN IR,KGS,16366445,23.65
TEA,PANAMA REPUBLIC,KGS,63,0
TEA,PAPUA N GNA,KGS,820,0
TEA,PARAGUAY,KGS,50,0
TEA,PERU,KGS,41,0
TEA,PHILIPPINES,KGS,221139,1.53
TEA,POLAND,KGS,6299378,15.24
TEA,PORTUGAL,KGS,18464,0.05
TEA,PUERTO RICO,KGS,63763,0.46
TEA,QATAR,KGS,1465314,5.55
TEA,REUNION,KGS,4446,0.03
TEA,ROMANIA,KGS,570,0
TEA,RUSSIA,KGS,50734043,120.83
TEA,RWANDA,KGS,20760,0.04
TEA,SAUDI ARAB,KGS,4874720,19.86
TEA,SENEGAL,KGS,233989,1.05
TEA,SERBIA,KGS,103447,1.13
TEA,SEYCHELLES,KGS,8303,0.04
TEA,SIERRA LEONE,KGS,176833,0.58
TEA,SINGAPORE,KGS,592315,3.08
TEA,SLOVAK REP,KGS,54,0
TEA,SLOVENIA,KGS,1550,0.03
TEA,SOMALIA,KGS,324,0
TEA,SOUTH AFRICA,KGS,123770,0.67
TEA,SOUTH SUDAN,KGS,5508,0.02
TEA,SPAIN,KGS,1014202,1.52
TEA,SRI LANKA DSR,KGS,4616392,9.48
TEA,ST KITT N A,KGS,1095,0.01
TEA,SUDAN,KGS,300,0
TEA,SURINAME,KGS,76481,0.33
TEA,SWAZILAND,KGS,606,0.01
TEA,SWEDEN,KGS,229481,1.33
TEA,SWITZERLAND,KGS,41360,0.46
TEA,SYRIA,KGS,324315,1.01
TEA,TAIWAN,KGS,2904965,5.96
TEA,TAJIKISTAN,KGS,480631,1.22
TEA,TANZANIA REP,KGS,4993,0.02
TEA,THAILAND,KGS,131452,1.28
TEA,TOGO,KGS,23055,0.11
TEA,TRINIDAD,KGS,13132,0.08
TEA,TUNISIA,KGS,4063042,6.53
TEA,TURKEY,KGS,1797601,4.17
TEA,TURKMENISTAN,KGS,182591,0.48
TEA,U ARAB EMTS,KGS,21667263,66.28
TEA,U K,KGS,17720414,55.81
TEA,U S A,KGS,15429435,64.34
TEA,UGANDA,KGS,1045,0.01
TEA,UKRAINE,KGS,3908199,9.02
TEA,UZBEKISTAN,KGS,320828,0.68
TEA,VENEZUELA,KGS,48,0
TEA,VIETNAM SOC REP,KGS,201341,0.84
TEA,YEMEN REPUBLC,KGS,27500,0.04
TEA,ZAMBIA,KGS,14292,0.07
COFFEE,ALBANIA,KGS,687600,1.49
COFFEE,ALGERIA,KGS,2497380,4.9
COFFEE,ARGENTINA,KGS,1560000,3.29
COFFEE,ARMENIA,KGS,44200,0.15
COFFEE,AUSTRALIA,KGS,7769761,20.1
COFFEE,AUSTRIA,KGS,14420,0.34
COFFEE,AZERBAIJAN,KGS,6900,0.07
COFFEE,BAHARAIN IS,KGS,89346,0.31
COFFEE,BANGLADESH PR,KGS,466973,3.77
COFFEE,BELARUS,KGS,474089,2.04
COFFEE,BELGIUM,KGS,18040576,55.93
COFFEE,BENIN,KGS,452876,3.77
COFFEE,BHUTAN,KGS,43251,0.33
COFFEE,BOTSWANA,KGS,25,0
COFFEE,BRUNEI,KGS,75,0
COFFEE,BULGARIA,KGS,134950,0.51
COFFEE,BURKINA FASO,KGS,82474,0.65
COFFEE,CAMEROON,KGS,131428,1.07
COFFEE,CANADA,KGS,1130335,2.78
COFFEE,CAPE VERDE IS,KGS,57000,0.14
COFFEE,CHILE,KGS,25,0
COFFEE,CHINA P RP,KGS,416699,1.95
COFFEE,CONGO D. REP.,KGS,25963,0.18
COFFEE,CONGO P REP,KGS,92055,0.87
COFFEE,COTE D' IVOIRE,KGS,67702,0.55
COFFEE,CROATIA,KGS,2269118,4.68
COFFEE,CYPRUS,KGS,19200,0.04
COFFEE,CZECH REPUBLIC,KGS,6373,0.05
COFFEE,DENMARK,KGS,1483239,2.75
COFFEE,EGYPT A RP,KGS,2737202,6.07
COFFEE,ESTONIA,KGS,349355,1.13
COFFEE,ETHIOPIA,KGS,778,0.01
COFFEE,FIJI IS,KGS,1260,0.02
COFFEE,FINLAND,KGS,1287759,7.07
COFFEE,FR POLYNESIA,KGS,26146,0.24
COFFEE,FRANCE,KGS,2638063,9.76
COFFEE,GABON,KGS,50828,0.37
COFFEE,GAMBIA,KGS,127182,0.98
COFFEE,GEORGIA,KGS,214174,0.95
COFFEE,GERMANY,KGS,37827500,93.83
COFFEE,GHANA,KGS,462779,3.87
COFFEE,GREECE,KGS,5587102,12.09
COFFEE,GUINEA,KGS,116834,0.91
